"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MOV10",321.874263544339,1.41050423316077,0.15795095180941,8.93001414048293,4.25954343410362e-19,9.13113776941825e-17
"MT1P1",5.96992001644431,1.09737832877467,0.288324894545412,3.80604779377394,0.000141205107485289,0.00428516849000577
"MT2A",811.185914776821,1.2294959346857,0.189366886062109,6.49266595788264,8.43305382583855e-11,9.50009328951608e-09
"MT2P1",28.3822293194828,1.15684251962272,0.213700092263217,5.41339270082212,6.18416581776433e-08,4.41897673968403e-06
"MTATP6P11",17.4530265788831,1.36057884298299,0.407595814763636,3.33805891449594,0.00084365859315149,0.0178600016651821
"MTCO2P11",25.0428515799324,1.36111929734784,0.366112307907748,3.71776437980559,0.000200993598292443,0.00576963164763322
"MTCO3P11",24.7669401427694,1.27819924174353,0.305931809222623,4.17805276604434,2.9401545392606e-05,0.00115098935626605
"MTND3P12",2.21077857252693,2.25625093847298,0.655275196772884,3.44321126388519,0.000574850061969433,0.0135028610300905
"MX1",5208.95049031848,2.85173804631247,0.206204547026584,13.8296564621576,1.68824841739284e-43,1.49106100224136e-40
"MX2",2491.52163354567,1.83606246875401,0.121040541064976,15.1689876185235,5.67453151732685e-52,1.25293655902577e-48
"MYOF",531.108097529608,1.08618333297416,0.136593075527418,7.95196483262533,1.83576371980009e-15,3.14214441342527e-13
"NCOA7",857.655905147575,1.68203443530313,0.184703112956668,9.1066924015392,8.49317709310984e-20,1.91356479812107e-17
"NEXN",228.657083399373,2.32508159663089,0.193960711824505,11.9873843252061,4.13765203725574e-33,1.98607297788275e-30
"NRIR",62.6760752527514,3.52738015734628,0.40901376000449,8.62411122136223,6.45923211088418e-18,1.30843894503048e-15
"NTNG2",54.9032737468858,1.07592526504894,0.214629175294701,5.01294972396751,5.36019059238461e-07,3.20437665823055e-05
"OAS1",4765.60687015279,1.5409943542099,0.106444391794757,14.4769896114509,1.69353437698934e-47,2.07740216910693e-44
"OAS2",2657.68636900045,2.22187511619576,0.143543170543314,15.4787936464403,4.82434654665391e-54,1.5217367392874e-50
"OAS3",3479.46430960343,2.57838020741428,0.180719253766622,14.2673243369186,3.4974195618039e-46,3.67728685355382e-43
"OASL",1687.77273791953,2.83039844307291,0.171944308721673,16.4611347948393,6.97798925310146e-61,7.70370013542401e-57
"OPTN",138.987458507028,1.04845022336483,0.298708555984611,3.50994373063369,0.000448201531297374,0.0110326530780892
"OTOF",361.591268060728,7.00581161821877,0.633228036430434,11.0636472410653,1.8828230144143e-28,6.92878869304461e-26
"P2RY6",46.1469615115939,1.70812674349916,0.370421729527239,4.6113027593689,4.00153230750664e-06,0.000194184249120322
"PARP12",1103.99516851728,1.38284238594612,0.171102279038323,8.08196357008425,6.37321459397284e-16,1.13484337286226e-13
"PARP14",3565.99442659312,1.57935946309654,0.107372786278415,14.7091224679715,5.63331851041098e-49,7.77397954436715e-46
"PARP9",3288.56039615813,1.86902353893121,0.121356138939629,15.40114538302,1.60795750283959e-53,4.43796270783727e-50
"PGAP1",44.3171215880325,1.47602053395524,0.311079280181505,4.74483717814323,2.08674117365846e-06,0.000108924929348413
"PKD2L1",11.0753174299494,2.21906619013119,0.739812294057805,2.99949893771001,0.00270424066700073,0.0432052343902866
"PLAC8",1369.5843900724,1.60374697251631,0.18294797422461,8.76613681738471,1.8490130711591e-18,3.85152911426348e-16
"PLSCR1",3748.72118694978,1.22115188120772,0.107421496789884,11.3678538998231,6.04557610161395e-30,2.42702400588429e-27
"PML",937.804731334973,1.46820351737753,0.112963026507967,12.9972041539979,1.26898256238603e-38,9.03843063789791e-36
"PNPT1",625.518640112095,1.14027322566965,0.123965463260125,9.19831375354074,3.63610740742305e-20,8.54098420807456e-18
"PNPT1P1",5.60801173544469,1.4792619207324,0.407864871078368,3.6268431670061,0.000286907435000781,0.00774439628950764
"PPM1K",243.293530349565,1.13294866135474,0.143279206361668,7.90727901224503,2.63075562721011e-15,4.43412856861063e-13
"RGL1",180.036175435048,1.10816722853797,0.308712715803288,3.58963907804853,0.000331136123774744,0.00866289764567102
"RNASE1",169.162718571491,1.05588020478706,0.358351162411902,2.9464958273901,0.00321396755244833,0.0493800085754473
"RNF213",2471.0525725878,1.15540237478192,0.0996072015110651,11.5995867492932,4.14072876870614e-31,1.79269198456925e-28
"RNU7-40P",4.60813268266469,1.38040914857012,0.333627093790394,4.13758107258933,3.50986450331355e-05,0.00134544805960353
"RP1-111C20.3",3.10128881194038,1.81222876041108,0.542816591022013,3.33856553094485,0.00084212164502534,0.0178445738216502
"RP1-71H24.1",17.6229763086508,1.18654072007352,0.181442034840139,6.53950293888033,6.17236291293458e-11,6.98901400603054e-09
"RP11-10J5.1",18.4050126465181,1.718168857912,0.508534000552561,3.3786705629222,0.000728372339652803,0.0160824612595339
"RP11-1K3.1",41.3389731084084,2.02223677094364,0.198326244887838,10.1965162103851,2.05512380455352e-24,5.9706754742818e-22
"RP11-273G15.2",13.4043191932584,2.94385343751395,0.343392704970738,8.57284792280258,1.00956783535147e-17,2.00822142383427e-15
"RP11-288L9.4",7.26468886811262,3.35237908703487,0.526567061868554,6.36648079570104,1.93414504124336e-10,2.10374002515534e-08
"RP11-326C3.11",18.4319179232744,1.29687336557561,0.26552299648218,4.88422239413318,1.03837823576554e-06,5.89393096290568e-05
"RP11-326C3.7",14.9917118446345,1.40599106604214,0.32319341284989,4.35030854634146,1.35946106230413e-05,0.000568501898781726
"RP11-345J18.2",7.69861426952451,3.26367294652602,0.781982393770118,4.1735887822117,2.9983873989457e-05,0.00116557031282959
